review_priority,priority_score,review_reason,related_exam_count,mapping_id,subject,grade_band,domain_code_2015,domain_code_2022,change_type,similarity,code_2015,text_2015,source_2015,page_2015,code_2022,text_2022,source_2022,page_2022,review_required
low,11,"교과가중치 2; 학년군가중치 3; 변화유형가중치 4; 임용형 키워드 평가, 표현; 자동 추정 대응",0,MAP-6미01-05-REMOVED,미술,5-6,01,,removed_or_unmatched,0.0,6미01-05,"[6미01-05] 미술 활 동 에 Et 교 과 의 내용, 방법 SS 활용할 수 있다. (가) 학습 요소 oslo] 특징, 대 상 과 현상, 시각적 특 싱 , 이 미 지 의 의 미 와 활용. 타 교 과 의 활용 능 oO (나) 교 수 ㆍ 학습 방법 및 유의 사항 8 자 신 에 케 의미 있는 인 볼 이나 AE 현상 등 을 주의 싶게 관 찰 하여 특 싱 식인 Al ab A 이미지 0 마크, 표지판, 픽토그램, 포스터, 광고 등 의 시각 이 미 지 를 생환 속 에 서 찾 아 보고 관 찰 지 퀴 스 들을 용 하여 하 자 들 이 이 미 지 의 eis 찾 아 보도록 노 차 다 mA (다) 평가 방법 및 유의 사항 2 자 신 과 대 상 의 특 싱 을 발 건 하는 능력, 이미지 이해 및 활용 능력, 발표 능력, 타 교 과 의 내 용 이나 방법 황용 능력 을 평 가 한다 > 체험 길 과 뿐만 아니마 관찰 태도, 발표 WE 토 의 에 적 극 적 으로 잠 여 하 는 태도 능 을 으로 관 찰 하 여 평 가 한 나. co 관찰법, 발표 1 구 보 고 서 범 을 환 용 하여 평 가 한다. (2) 표현 상 과 성 에 서 4: 와 수세. 발상 방 법 을 의 에 한한 주형 원리, 다양한 als 용구. 표현 방법 등 을 환 용 하여 ARES 세 작 하며. 작 품 의 전체 과 정 에 대해 실 병 하는 데 중 점 을 둔다.",별책13_미술과 교육과정(제2015-74호).pdf,17,,,,,True
low,11,"교과가중치 2; 학년군가중치 3; 변화유형가중치 4; 임용형 키워드 과정, 표현; 자동 추정 대응",0,MAP-NEW-6미02-04,미술,5-6,,02,new_or_unmatched,0.0,,,,,6미02-04,[6미02-04] 주제 표현에 의지를 갖고 표현 과정을 돌아보며 작품을 발전시킬 수 있다 .,[별책13] 미술과 교육과정.pdf,19,True
low,11,교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 생활; 자동 추정 대응,0,MAP-4사01-05-REMOVED,사회,3-4,01,,removed_or_unmatched,0.0,4사01-05,[4사01-05] 옛 날 과 오 늘 날 의 교 통 수 단 에 관한 자 료 를 바 탕 으로 하여 교 통 수 단 의 발 달 에 따른 생활 모습 의 변 화 를 설 명 한 다,별책7_사회과 교육과정(제2015-74호).pdf,23,,,,,True
low,11,교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 생활; 자동 추정 대응,0,MAP-4사01-06-REMOVED,사회,3-4,01,,removed_or_unmatched,0.0,4사01-06,[4사01-06] 옛 날 과 오 늘 날 의 통 신 수 단 에 관한 자 료 를 바 탕 으로 하여 통 신 수 단 의 발 달 에 따른 생활 모습 의 변 화 를 설 명 한 다 TR 기은 } vo 후 . as 더 그 - “2 후 - (나) 성 취 기준 해설 그 오 ㅇ . le We Aru} 가 aed SL 및 의 발 달 이 우 비 고상 사로 들의 생화 모습 oie 영 향 을 미 졌 는지 파 악 하 는 는 데 수안 점 을 눈 나. © 사 에 서는 교 통 수 단 의 발 달 에 따라 나타난 생활 모 습 의 변화 중 고 장 에서 공 통 적 으,별책7_사회과 교육과정(제2015-74호).pdf,23,,,,,True
low,11,교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 생활; 자동 추정 대응,0,MAP-4사02-04-REMOVED,사회,3-4,02,,removed_or_unmatched,0.0,4사02-04,"[4사02-04] 옛 날 의 세시 ESS 알아보고, 오 늘 날 의 변 화 상 을 탐 색 하여 공 통 점 과 차 이 점 을 분 석 한다. (가) 학습 요소 © 옛 사 람 들 의 생활 도 구 와 주거 형태, 생활 모 습 의 번화, WN 오 늘 날 의 세시 풍속 (나) 성 취 기준 해설 이 난 원 은 생환 도 구 와 수저 형태 및 세시 중 속 을 중 심 으로 오 늘 남의 고상 사 람 들 의 생 BE 모 습 을 탐 색 하여 고장 사 람 들 의 생활 모 습 이 시 태 에 따라 변 화 한다는 접을 파 악 하는 데 에 주 uw 안 접을 도 228 SIVA. 기와집. 아파트 9974 어떻게 회 였 느 지을 파 약 하 한다 * 메 서는 OS 세시 중 속 을 조 사 하고 우 늘 날 의 세시 중 속 과 비 교 하 이 공 통 접 과 차이 (다) 교 수 ㆍ 학습 방법 및 유의 사항 기 과 간이 옛 사로 } 든 의 생 을 새 현 한 공간 이나 장소 aston: 현상 학 습 을 sa 잇 ae 생활 모 습 을 파악할 수 있고, 사 진 과 리그 vt Tia SY 능 의 자 er 모습 @ of 사 람 들 의 생활 모 습 이 잘 드러나는 사진. 통 영 상 , 옛 사 람 들 이 사 용 했던 생활 도구 모형 능 의 구체적인 자 료 을 세 시 하의 당시 사 람 들 의 생활 모 습 을 오 늘 날 의 생활 모 습 과 비 교 하여 상상할 20",별책7_사회과 교육과정(제2015-74호).pdf,26,,,,,True
low,11,교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 지역; 자동 추정 대응,0,MAP-4사03-05-REMOVED,사회,3-4,03,,removed_or_unmatched,0.0,4사03-05,"[4사03-05] 우리 지 역 에 있는 SS 기 관 의 종 류 와 APS 조 사 하고, 공공 기 관 이 지역 주 민 들 의 생 활 에 주는 도 움 을 탐 색 한다",별책7_사회과 교육과정(제2015-74호).pdf,32,,,,,True
low,11,교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 지역; 자동 추정 대응,0,MAP-4사03-06-REMOVED,사회,3-4,03,,removed_or_unmatched,0.0,4사03-06,"[4사03-06] 주민 참 여 를 통해 지역 SAS 해 결 하는 YS 살 펴 보 고, 지역 문 제 의 해 결 에 참 여 하는 et 도 를 기른다. ~ N za Jol | 습 QA 공공 기관, 공공 기 관 의 역할, 지 억 문제, 수민 ies (나) 성 취 기준 해설 이 단 원 은 지 억 주 민 들 의 생 환 에 도 움 을 주는 공공 기 관 에 대해 이 해 하고 지역 문 세 및 해결 방 안을 밤 구 함으로써 지 억 문제 해 결 에 직 극 적 으로 잠 여 하 는 자 세 를 기르는 데 주 안 접을 눈 다. © 4403-0510] AS 우리 지 억 의 공공 기 관 의 종 류 와 역 할 을 파 악 하고, 이들 공공 기 관 이 주 민 든 의 생 환 에 어떤 영 향 을 주는지 탐 구 합 으로써 지 억 사회 차 원 에서 이루어지는 공공 기 관 의 SHAMS ¥ fey oe 식 하도록 © 사 에 서는 지 억 사 회 에서 발 생 하는 여러 문 세 들 을 조 사 하고, 이를 해 결 하기 위한 빈 수석 이고 합리적인 방 법 을 탐 색 합 으로써 지 억 문 제 에 대해 관 심 을 갖고 잠 여 하 는 태 도 를 함 양 하도록 v1 그 자 신 이 살고 있는 지 억 의 문 세 들 을 다양한 방 범 ( 지 1 신문, 인터넷 검색, 현상 조사 PL 1 이 그 조 사 하여 분 제 발 생 의 원 인 을 탐 구 하고 문 세 해 길 을 하는 SHES 통하여 지 억 문제 해 길 과 정 에 주 체 적 으로 잠 여 하 노 록 한다. oo} 문제 해 길 에 앞 상 서 는 각종 지역 사회 단 체 들의 PRE 자 료 ( 두 미 집 이나 블로그 잠 고 21211 하여 우리 지 억 에서 발 생 하는 다양한 분 제 를 탐 구 할 수 있도록 안 내 한다. - 트 26",별책7_사회과 교육과정(제2015-74호).pdf,32,,,,,True
low,11,교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 지역; 자동 추정 대응,0,MAP-4사04-04-REMOVED,사회,3-4,04,,removed_or_unmatched,0.0,4사04-04,"[4사04-04] 구리 지 역 과 다른 지 역 의 물자 교환 및 교류 사 례 를 조 사 하여, 지역 간 경 제 활 동이 밀 접 하게 탐 구 한다 경 제 활 농 에서 선 택 의 문 세, 시상, 생 4 지 (나) 성 취 기준 해설 은 ' 생 산과 소 비 ' 와 같은 기 본 직인 경 제 활 통 의 의 미 를 이 해 하고, 인 간 의 육 구 를 충 족 할 [을 파 악 하며, 우리 지 억 과 다른 수 있는 자 원 이 희 수 하여 경 세 활 통 에서 신 택 의 문 세가 생 $ OL 사 람 들 의 물자 교환 WL 교류 ARIE 통하여 지역 간 경 제 활 통 이 밀 29",별책7_사회과 교육과정(제2015-74호).pdf,35,,,,,True
low,11,교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 생활; 자동 추정 대응,0,MAP-4사04-06-REMOVED,사회,3-4,04,,removed_or_unmatched,0.0,4사04-06,"[4사04-06] 우리 사 회 에 다양한 문 화 가 확 산 되면서 생기는 문 제 (편견, 차별 등 ) 및 해결 방 안 을 탐 구 하고, 다른 문 화 를 존 중 하 는 HSS 기른다 (가) 학습 요소 사회 변화. 문화 다 양 성 의 확 산 과 그에 따른 문 세, 타 문화 존 (나) 성 취 기준 해설 © 이 단 원 은 사회 번 화 로 인해 나타난 일 상 생 활 의 번화 모 습 과 그 특 을 분 석 하고, 이러한 생활 에 서는 자 출 산 정보화, 세 화 등과 간 은 사회 빈 화가 우 이 의 일 상 생 하에 a 치는 다양한 엉 향 들을 조 사 함으로써 사회 변 화 에 대한 인식 능 럭 과 관 린 문 세 에 대한 대응 능력 © 분화 다 양 성 이 점차 확 산 되는 상 황 에서 발생할 수 있는 편 건 이 나 자비 을 ""사외 집단 ced (다) 교 수 ㆍ 학습 방법 및 유의 사항 © 실세 사 레 나 다양한 시사 자 료 를 통해 사회 빈 화 ( 지 줄 산 고령화, 정보화. 세계화 능 ) 가 임 상 생환 * 사회 빈 화 의 다양한 양 상 과 그것이 일 상 생 활 에 미진 영 향 과 Selo] 잘 드 리 난 각종 통제 자료, 신문 기사, 영화, 사진 능 다양한 자 료 들을 적극 활 용 하도록 안 내 한다. * 양 성 의 확 산 으로 발 생 하는 전 이나 차별 가치 관 단아 분 임 을 그, 학 생 들 이 때 가지고 있는 신 이나 린 식어 반 성 식 으로 살 보게 한 으로써 태토 * 편 건 이 나 차 별 과 같은 분 세 를 학 습 할 때, 학 생 들 이 평소 갖고 있는 편 견 이나 차별 사 례 들을 사 전에 조 사 하여 학습 과 정 에 반 영 한 다. 31",별책7_사회과 교육과정(제2015-74호).pdf,37,,,,,True
low,11,교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 생활; 자동 추정 대응,0,MAP-NEW-4사03-01,사회,3-4,,03,new_or_unmatched,0.0,,,,,4사03-01,"[4사03-01] 최근 사회 변화의 양상과 특징을 파악하고, 그로 인해 나타난 생활모습의 변화를 탐색한다.",[별책7] 사회과 교육과정.pdf,27,True
